ha_bu_si_bao;哈布斯堡血脉;;;;;;;;;;X
ha_bu_si_bao_P;哈布斯堡纯正血脉;;;;;;;;;;X
ha_bu_si_bao_W;哈布斯堡驳杂血脉;;;;;;;;;;X
ha_bu_si_bao_desc;此人拥有哈布斯堡家族的血脉。哈布斯堡家族为德意志封建统治家族。其主要分支在奥地利，祖系日耳曼人中的一支，最早居住在阿尔萨斯，后来向东扩张至瑞士的阿尔高。由于该家族的主教斯特拉斯堡的维尔纳建立鹰堡——哈布斯堡，其家族即以哈布斯堡为名。;;;;;;;;;;X
ha_bu_si_bao_P_desc;此人拥有哈布斯堡家族的纯正血脉。哈布斯堡家族为德意志封建统治家族。其主要分支在奥地利，祖系日耳曼人中的一支，最早居住在阿尔萨斯，后来向东扩张至瑞士的阿尔高。由于该家族的主教斯特拉斯堡的维尔纳建立鹰堡——哈布斯堡，其家族即以哈布斯堡为名。;;;;;;;;;;X
ha_bu_si_bao_W_desc;此人拥有微弱的哈布斯堡家族的血脉。哈布斯堡家族为德意志封建统治家族。其主要分支在奥地利，祖系日耳曼人中的一支，最早居住在阿尔萨斯，后来向东扩张至瑞士的阿尔高。由于该家族的主教斯特拉斯堡的维尔纳建立鹰堡——哈布斯堡，其家族即以哈布斯堡为名。;;;;;;;;;;X
ha_bu_si_bao_death;;;;;;;;;;;X
ha_bu_si_bao_P_death;;;;;;;;;;;X
ha_bu_si_bao_W_death;;;;;;;;;;;X
jin_que_hua;金雀花血脉;;;;;;;;;;X
jin_que_hua_P;金雀花纯正血脉;;;;;;;;;;X
jin_que_hua_W;金雀花驳杂血脉;;;;;;;;;;X
jin_que_hua_desc;此人拥有金雀花家族的血脉。;;;;;;;;;;X
jin_que_hua_P_desc;此人拥有金雀花家族的纯正血脉。;;;;;;;;;;X
jin_que_hua_W_desc;此人拥有微弱的金雀花家族的血脉。;;;;;;;;;;X
jin_que_hua_death;;;;;;;;;;;X
jin_que_hua_P_death;;;;;;;;;;;X
jin_que_hua_W_death;;;;;;;;;;;X
ka_pei;卡佩血脉;;;;;;;;;;X
ka_pei_P;卡佩纯正血脉;;;;;;;;;;X
